year,county,facilityType,vmt,laneMiles,minElast,maxElast
2017,WASHINGTON,Rural Minor Arterial,105,106.514,0.5,0.7
2017,WASHINGTON,Rural Collector (Major and Minor),132,333.07001,0.5,0.7
2017,WASHINGTON,Rural Local,146,971.58002,0.3,0.5
2017,WASHINGTON,Urban Interstate/Freeway/Expressway,575,97.519997,0.7,1
2017,WASHINGTON,Urban Primary Arterial - Other,144,61.868999,0.7,1
2017,WASHINGTON,Urban Minor Arterial,262,163.379,0.5,0.7
2017,WASHINGTON,Urban Collector (Major and Minor),151,175.642,0.5,0.7
2017,WASHINGTON,Urban Local,79,779.19501,0.3,0.5
2017,WICOMICO,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,WICOMICO,Rural Primary Arterial - Other,154,66.540001,0.7,1
2017,WICOMICO,Rural Minor Arterial,23,44.248001,0.5,0.7
2017,WICOMICO,Rural Collector (Major and Minor),80,244.418,0.5,0.7
2017,WICOMICO,Rural Local,46,753.26599,0.3,0.5
2017,WICOMICO,Urban Interstate/Freeway/Expressway,136,56.284,0.7,1
2017,WICOMICO,Urban Primary Arterial - Other,271,127.43,0.7,1
2017,WICOMICO,Urban Minor Arterial,110,87.449997,0.5,0.7
2017,WICOMICO,Urban Collector (Major and Minor),144,206.916,0.5,0.7
2017,WICOMICO,Urban Local,46,694.59302,0.3,0.5
2017,WORCESTER,Rural Interstate/Freeway/Expressway,23,11.58,0.7,1
2017,WORCESTER,Rural Primary Arterial - Other,228,167.63699,0.7,1
2017,WORCESTER,Rural Minor Arterial,35,34.880001,0.5,0.7
2017,WORCESTER,Rural Collector (Major and Minor),85,294.646,0.5,0.7
2017,WORCESTER,Rural Local,74,876.04602,0.3,0.5
2017,WORCESTER,Urban Interstate/Freeway/Expressway,47,12.33,0.7,1
2017,WORCESTER,Urban Primary Arterial - Other,225,97.449997,0.7,1
2017,WORCESTER,Urban Minor Arterial,46,25.49,0.5,0.7
2017,WORCESTER,Urban Collector (Major and Minor),57,44.437,0.5,0.7
2017,WORCESTER,Urban Local,26,403.13199,0.3,0.5
2017,BALTIMORE CITY,Rural Interstate/Freeway/Expressway,0,0,0.7,1
2017,BALTIMORE CITY,Rural Primary Arterial - Other,0,0,0.7,1
2017,BALTIMORE CITY,Rural Minor Arterial,0,0,0.5,0.7
2017,BALTIMORE CITY,Rural Collector (Major and Minor),2,9.3800001,0.5,0.7
2017,BALTIMORE CITY,Rural Local,0,12.48,0.3,0.5
2017,BALTIMORE CITY,Urban Interstate/Freeway/Expressway,0,220.649,0.7,1
2017,BALTIMORE CITY,Urban Primary Arterial - Other,0,606.255,0.7,1
